Time [s],Mold Average Temperature [deg C],Mold Maximum Temperature [deg C],Cycle Temperature [deg C]
0.0,20.0,20.0,20.0
50.0,19.950329157164685,20.88433790939834,22.5
100.0,20.743129360953578,23.370722606616514,25.0
150.0,21.88497855349024,25.84406433543051,27.5
200.0,23.299596610577456,28.318458133519723,30.0
250.0,24.92598550593815,30.795147283698856,32.5
300.0,26.71763918456125,33.27381486570996,35.0
350.0,28.639274100997145,35.75407769015951,37.5
400.0,30.663880229193648,38.23564310466142,40.0
450.0,32.77055321375229,40.71829464603569,42.5
500.0,34.94295804174011,43.20186804414546,45.0
550.0,37.16823146426168,45.68623469011445,47.5
600.0,39.43618241794369,48.171291189585936,50.0
650.0,41.73869778069748,50.65695266413251,52.5
700.0,44.06929313190597,53.143148290666176,55.0
750.0,46.42276849214522,55.62981820584348,57.5
800.0,48.794941726502714,58.11691127363316,60.0
850.0,51.18244041911097,60.60438342118815,62.5
900.0,53.582538377668776,63.09219636421764,65.0
950.0,55.99302656578402,65.5803166094318,67.5
1000.0,58.4121108106521,68.06871466059057,70.0
1050.0,60.83833046695586,70.55736437826496,72.5
1100.0,63.27049356482049,73.04624245818113,75.0
1150.0,65.70762497644235,75.53532800260629,77.5
1200.0,68.14892489881754,78.02460216569665,80.0
1250.0,70.59373553409847,80.51404785824117,82.5
1300.0,73.04151430008037,83.00364950048186,85.0
1350.0,75.4918122537858,85.49339281410089,87.5
1400.0,77.94425668489195,87.9832646462812,90.0
1450.0,80.39853705052604,90.47325282015056,92.5
1500.0,82.85439359204375,92.96334600701078,95.0
1550.0,85.3116081079276,95.45353361661716,97.5
1600.0,87.76999646264952,97.94380570245805,100.0
1650.0,90.22940249522482,100.43415287953327,102.5
1700.0,92.68969305788546,102.92456625257108,105.0
1750.0,95.15075396844023,105.41503735297987,107.5
1800.0,97.6124867022979,107.90555808312033,110.0
1850.0,100.0748056840316,110.39612066671695,112.5
1900.0,102.53763606550353,112.88671760442094,115.0
1950.0,105.0009118993301,115.37734163369016,117.5
2000.0,107.46457463393888,117.86798569228193,120.0
2050.0,109.92857187051484,120.35864288475635,122.5
2100.0,112.39285633343766,122.84930645147335,125.0
2150.0,114.85738501492366,125.33996973963748,127.5
2200.0,117.32211846193572,127.83062617599808,130.0
2250.0,119.7870201793605,130.32126924086072,132.5
2300.0,122.2520561282521,132.8118924431004,135.0
2350.0,124.56443898850792,134.35109270127006,135.0
2400.0,126.45204760673019,134.7863194308906,135.0
2450.0,127.970977760848,134.91215276268395,135.0
2500.0,129.20277447908285,134.95245503518802,135.0
2550.0,130.20925235010492,134.96807450196204,135.0
2600.0,131.03593684902168,134.97591717854544,135.0
2650.0,131.7172634334779,134.98087345764893,135.0
2700.0,132.28002764624128,134.98447462666334,135.0
2750.0,132.7455252612303,134.98727413415972,135.0
2800.0,133.13092649872718,134.9895184022614,135.0
2850.0,133.45020834742323,134.9913440661615,135.0
2900.0,133.7148206754228,134.992840558755,135.0
2950.0,133.9341825316878,134.99407256092914,135.0
3000.0,134.116063883359,134.99508949609952,135.0
3050.0,134.26688613739722,134.99593030951544,135.0
3100.0,134.39196266863533,134.9966262542089,135.0
3150.0,134.49569356288848,134.9972026973144,135.0
3200.0,134.581724543749,134.99768038037587,135.0
3250.0,134.65307736943916,134.9980763448366,135.0
3300.0,134.7122572093271,134.9984046368743,135.0
3350.0,134.76134127862994,134.99867685839573,135.0
3400.0,134.8020521207948,134.99890260584394,135.0
3450.0,134.83581826176734,134.999089824245,135.0
3500.0,134.86382444797667,134.99924509544758,135.0
3550.0,134.88705327646124,134.99937387423586,135.0
3600.0,134.9063197027783,134.9994806825445,135.0
3650.0,134.92229965108726,134.99956926965865,135.0
3700.0,134.93555373765102,134.99964274460018,135.0
3750.0,134.94654694415107,134.9997036856656,135.0
3800.0,134.95566493325413,134.9997542311337,135.0
3850.0,134.96322758004615,134.99979615441998,135.0
3900.0,134.9695001947173,134.99983092636785,135.0
3950.0,134.9747028305792,134.99985976688998,135.0
4000.0,134.9790180041568,134.99988368778816,135.0
4050.0,134.9825970982999,134.99990352826117,135.0
4100.0,134.9855656730045,134.9999199843519,135.0
4150.0,134.98802787029103,134.99993363336972,135.0
4200.0,134.99007006768593,134.99994495414532,135.0
4250.0,134.99176390848623,134.9999543438297,135.0
4300.0,134.99316881511984,134.99996213182763,135.0
4350.0,134.99433407377558,134.99996859135393,135.0
4400.0,134.9953005634371,134.99997394901857,135.0
4450.0,134.99610218997924,134.99997839277668,135.0
4500.0,134.9967670756362,134.9999820785216,135.0
4550.0,134.99731854557103,134.99998513555468,135.0
4600.0,134.99777594615708,134.99998767112115,135.0
4650.0,134.99815532367697,134.99998977417255,135.0
4700.0,134.99846998724976,134.99999151848692,135.0
4750.0,134.9987309757345,134.99999296525738,135.0
4800.0,134.99894744498954,134.99999416523883,135.0
4850.0,134.99912698907323,134.9999951605281,135.0
4900.0,134.9992759066551,134.99999598604177,135.0
4950.0,134.99939942198196,134.99999667073996,135.0
5000.0,134.99950186815232,134.99999723864275,135.0
5050.0,134.999586839128,134.99999770967318,135.0
5100.0,134.9996573158152,134.99999810035553,135.0
5150.0,134.99971577063923,134.9999984243951,135.0
5200.0,134.99976425428116,134.99999869316107,135.0
5250.0,134.99980446761788,134.9999989160803,135.0
5300.0,134.99983782139228,134.9999991009742,135.0
5350.0,134.9998654857037,134.9999992543302,135.0
5400.0,134.99988843105666,134.99999938152655,135.0
5450.0,134.99990746240758,134.99999948702504,135.0
5500.0,134.99992324740418,134.9999995745276,135.0
5550.0,134.99993633980728,134.99999964710443,135.0
5600.0,134.9999471989176,134.99999970730093,135.0
5650.0,134.99995620568856,134.99999975722898,135.0
5700.0,134.99996367609089,134.99999979864035,135.0
5750.0,134.9999698721973,134.9999998329876,135.0
5800.0,134.99997501137634,134.99999986147606,135.0
5850.0,134.99997927391783,134.99999988510478,135.0
5900.0,134.999982809358,134.99999990470297,135.0
5950.0,134.84491792433968,134.94641502180886,132.5
6000.0,134.25774556507682,134.64022913166457,130.0
6050.0,133.2938776317211,134.07008425680834,127.5
6100.0,132.03530389876687,133.2427596910039,125.0
6150.0,130.5444871906912,132.17447653223417,122.5
6200.0,128.86763846689502,130.88572595406816,120.0
6250.0,127.03988187713938,129.40045719043707,117.5
6300.0,125.08868535773875,127.74380950115162,115.0
6350.0,123.0359834541804,125.94009720503036,112.5
6400.0,120.89953820576054,124.01159368048525,110.0
6450.0,118.69386301918232,121.97800338117761,107.5
6500.0,116.43088471927614,119.85637279926087,105.0
6550.0,114.12043920218785,117.66123728413713,102.5
