Time (5-secs),Energy [kWh]
5,0
10,0.008611111
15,0.009583333
20,0.01125
25,0.012777778
30,0.014305556
35,0.015972222
40,0.017638889
45,0.019305556
50,0.021111111
55,0.022916667
60,0.024861111
65,0.026805556
70,0.02875
75,0.030833333
80,0.032916667
85,0.035833333
90,0.038055556
95,0.040277778
100,0.042638889
105,0.045972222
110,0.048333333
115,0.050833333
120,0.053333333
125,0.075277778
130,0.077916667
135,0.080555556
140,0.083333333
145,0.176527778
150,0.179305556
155,0.182222222
160,0.185138889
165,0.202777778
170,0.205833333
175,0.208888889
180,0.212083333
185,0.300138889
190,0.303333333
195,0.306666667
200,0.31
205,0.400972222
210,0.404444444
215,0.407916667
220,0.411388889
225,0.50375
230,0.507361111
235,0.511111111
240,0.514861111
245,0.610416667
250,0.614305556
255,0.618194444
260,0.622083333
265,0.717638889
270,0.721666667
275,0.725694444
280,0.729722222
285,0.825416667
290,0.829583333
295,0.833888889
300,0.838194444
305,0.934166667
310,0.938611111
315,0.943055556
320,0.9475
325,1.043611111
330,1.048194444
335,1.052777778
340,1.0575
345,1.153888889
350,1.158611111
355,1.163472222
360,1.168333333
365,1.264722222
370,1.269722222
375,1.274722222
380,1.279722222
385,1.376388889
390,1.381388889
395,1.386388889
400,1.391388889
405,1.487916667
410,1.492916667
415,1.497916667
420,1.502916667
425,1.599027778
430,1.603888889
435,1.608888889
440,1.61375
445,1.71
450,1.715
455,1.719861111
460,1.724722222
465,1.821111111
470,1.825972222
475,1.830833333
480,1.835694444
485,1.931944444
490,1.936805556
495,1.941666667
500,1.946527778
505,2.042777778
510,2.047638889
515,2.0525
520,2.057361111
525,2.153611111
530,2.158472222
535,2.163333333
540,2.168194444
545,2.264444444
550,2.269305556
555,2.274166667
560,2.279027778
565,2.375
570,2.379861111
575,2.384722222
580,2.389583333
585,2.485694444
590,2.490555556
595,2.495416667
600,2.500277778
605,2.59625
610,2.601111111
615,2.605972222
620,2.610833333
625,2.706944444
630,2.711805556
635,2.716666667
640,2.721527778
645,2.817916667
650,2.822777778
655,2.827638889
660,2.8325
665,2.928611111
670,2.933472222
675,2.938333333
680,2.943194444
685,3.039166667
690,3.043888889
695,3.048611111
700,3.053333333
705,3.149166667
710,3.153888889
715,3.158611111
720,3.163333333
725,3.259305556
730,3.264027778
735,3.26875
740,3.273472222
745,3.369444444
750,3.374166667
755,3.378888889
760,3.383611111
765,3.479583333
770,3.484305556
775,3.489027778
780,3.49375
785,3.589722222
790,3.594444444
795,3.599166667
800,3.603888889
805,3.699861111
810,3.704583333
815,3.709305556
820,3.714027778
825,3.809583333
830,3.814305556
835,3.819027778
840,3.82375
845,3.919305556
850,3.924027778
855,3.928611111
860,3.933333333
865,4.02875
870,4.033472222
875,4.038194444
880,4.042916667
885,4.138194444
890,4.142777778
895,4.1475
900,4.152222222
905,4.247638889
910,4.252222222
915,4.256805556
920,4.261527778
925,4.357083333
930,4.361666667
935,4.36625
940,4.370972222
945,4.466666667
950,4.47125
955,4.475833333
960,4.480416667
965,4.575972222
970,4.580555556
975,4.585138889
980,4.589722222
985,4.685277778
990,4.689861111
995,4.694444444
1000,4.699027778
1005,4.794583333
1010,4.799166667
1015,4.80375
1020,4.808333333
1025,4.90375
1030,4.908333333
1035,4.912916667
1040,4.9175
1045,5.012916667
1050,5.0175
1055,5.022083333
1060,5.026666667
1065,5.122083333
1070,5.126666667
1075,5.13125
1080,5.135833333
1085,5.23125
1090,5.235833333
1095,5.240416667
1100,5.245
1105,5.340138889
1110,5.344722222
1115,5.349305556
1120,5.353888889
1125,5.449166667
1130,5.45375
1135,5.458333333
1140,5.462916667
1145,5.558055556
1150,5.562638889
1155,5.567222222
1160,5.571805556
1165,5.666944444
1170,5.671527778
1175,5.676111111
1180,5.680694444
1185,5.775277778
1190,5.779722222
1195,5.784305556
1200,5.78875
1205,5.883472222
1210,5.888055556
1215,5.8925
1220,5.896944444
1225,5.991527778
1230,5.995972222
1235,6.000416667
1240,6.004861111
1245,6.099583333
1250,6.104027778
1255,6.108472222
1260,6.112916667
1265,6.206944444
1270,6.211388889
1275,6.215833333
1280,6.220277778
1285,6.314444444
1290,6.318888889
1295,6.323333333
1300,6.327777778
1305,6.421805556
1310,6.42625
1315,6.430694444
1320,6.435138889
1325,6.529583333
1330,6.535277778
1335,6.539722222
1340,6.544166667
1345,6.638055556
1350,6.643888889
1355,6.648333333
1360,6.652777778
1365,6.747222222
1370,6.751666667
1375,6.756111111
1380,6.760555556
1385,6.855277778
1390,6.859722222
1395,6.864166667
1400,6.868611111
1405,6.96375
1410,6.97
1415,6.974444444
1420,6.978888889
1425,7.074027778
1430,7.080138889
1435,7.084583333
1440,7.089027778
1445,7.183888889
1450,7.190138889
1455,7.194583333
1460,7.199027778
1465,7.293888889
1470,7.298194444
1475,7.3025
1480,7.306944444
1485,7.401666667
1490,7.408055556
1495,7.412361111
1500,7.416666667
1505,7.511388889
1510,7.517777778
1515,7.522083333
1520,7.526527778
1525,7.621111111
1530,7.627638889
1535,7.631944444
1540,7.63625
1545,7.730972222
1550,7.735277778
1555,7.739583333
1560,7.743888889
1565,7.838611111
1570,7.845277778
1575,7.849583333
1580,7.853888889
1585,7.948333333
1590,7.983611111
1595,7.987916667
1600,7.992222222
1605,8.086666667
1610,8.09375
1615,8.098055556
1620,8.102361111
1625,8.196944444
1630,8.204305556
1635,8.208611111
1640,8.212916667
1645,8.307638889
1650,8.333888889
1655,8.338194444
1660,8.3425
1665,8.437083333
1670,8.461666667
1675,8.465972222
1680,8.470277778
1685,8.564861111
1690,8.587361111
1695,8.591666667
1700,8.595972222
1705,8.690555556
1710,8.717083333
1715,8.721388889
1720,8.725694444
1725,8.820277778
1730,8.848333333
1735,8.852638889
1740,8.856944444
1745,8.951527778
1750,8.98625
1755,8.990555556
1760,8.994861111
1765,9.089166667
1770,9.180138889
1775,9.184444444
1780,9.18875
1785,9.283055556
1790,9.313333333
1795,9.317638889
1800,9.321944444
1805,9.416388889
1810,9.423333333
1815,9.427638889
1820,9.431944444
1825,9.526388889
1830,9.5575
1835,9.561805556
1840,9.566111111
1845,9.660555556
1850,9.7475
1855,9.751666667
1860,9.755833333
1865,9.850138889
1870,9.877777778
1875,9.881944444
1880,9.886111111
1885,9.980277778
1890,10.00513889
1895,10.00930556
1900,10.01347222
1905,10.10763889
1910,10.19847222
1915,10.20263889
1920,10.20680556
1925,10.30083333
1930,10.39166667
1935,10.39583333
1940,10.4
1945,10.49416667
1950,10.52180556
1955,10.52597222
1960,10.53013889
1965,10.62444444
1970,10.71680556
1975,10.72097222
1980,10.72513889
1985,10.81944444
1990,10.82486111
1995,10.82902778
2000,10.83319444
2005,10.92736111
2010,10.93152778
2015,10.93569444
2020,10.93986111
2025,11.03416667
2030,11.03833333
2035,11.0425
2040,11.04666667
2045,11.14111111
2050,11.14527778
2055,11.14944444
2060,11.15361111
2065,11.24791667
2070,11.25208333
2075,11.25625
2080,11.26041667
2085,11.35305556
2090,11.35722222
2095,11.36138889
2100,11.36555556
2105,11.46013889
2110,11.46430556
2115,11.46847222
2120,11.47263889
2125,11.56194444
2130,11.56611111
2135,11.57027778
2140,11.57444444
2145,11.66555556
2150,11.66972222
2155,11.67388889
2160,11.67805556
2165,11.76986111
2170,11.77402778
2175,11.77819444
2180,11.78236111
2185,11.80736111
2190,11.81152778
2195,11.81569444
2200,11.81986111
2205,11.91277778
2210,11.91694444
2215,11.92111111
2220,11.92527778
2225,11.95569444
2230,11.95986111
2235,11.96402778
2240,11.96819444
2245,11.9975
2250,12.00166667
2255,12.00583333
2260,12.01
2265,12.03666667
2270,12.04083333
2275,12.045
2280,12.04916667
2285,12.08013889
2290,12.08430556
2295,12.08847222
2300,12.09263889
2305,12.11888889
2310,12.12305556
2315,12.12722222
2320,12.13138889
2325,12.15944444
2330,12.16361111
2335,12.16777778
2340,12.17194444
2345,12.19847222
2350,12.20263889
2355,12.20680556
2360,12.21097222
2365,12.24319444
2370,12.24736111
2375,12.25152778
2380,12.25569444
2385,12.26305556
2390,12.26722222
2395,12.27138889
2400,12.27555556
2405,12.28333333
2410,12.2875
2415,12.29166667
2420,12.29583333
2425,12.32347222
2430,12.32763889
2435,12.33180556
2440,12.33597222
2445,12.34194444
2450,12.34611111
2455,12.35027778
2460,12.35444444
2465,12.38458333
2470,12.38875
2475,12.39291667
2480,12.39708333
2485,12.40375
2490,12.40791667
2495,12.41208333
2500,12.41625
2505,12.42347222
2510,12.42763889
2515,12.43180556
2520,12.43597222
2525,12.46527778
2530,12.46944444
2535,12.47361111
2540,12.47777778
2545,12.48347222
2550,12.48763889
2555,12.49180556
2560,12.49597222
2565,12.50208333
2570,12.50625
2575,12.51041667
2580,12.51458333
2585,12.52097222
2590,12.52513889
2595,12.52930556
2600,12.53347222
2605,12.54027778
2610,12.54444444
2615,12.54861111
2620,12.55277778
2625,12.55986111
2630,12.56402778
2635,12.56819444
2640,12.57236111
2645,12.57972222
2650,12.58388889
2655,12.58805556
2660,12.59222222
2665,12.6
2670,12.60416667
2675,12.60833333
2680,12.6125
2685,12.61819444
2690,12.62236111
2695,12.62652778
2700,12.63069444
2705,12.63666667
2710,12.64083333
2715,12.645
2720,12.64916667
2725,12.65555556
2730,12.65972222
2735,12.66388889
2740,12.66805556
2745,12.67486111
