Pressure bar,Time secs,Temp C
0.00,0,20
0.03,30,20.5
0.05,60,21
0.08,90,21.5
0.11,120,22
0.13,150,22.5
0.16,180,23
0.19,210,23.5
0.22,240,24
0.24,270,24.5
0.27,300,25
0.30,330,25.5
0.32,360,26
0.35,390,26.5
0.38,420,27
0.40,450,27.5
0.43,480,28
0.46,510,28.5
0.48,540,29
0.51,570,29.5
0.54,600,30
0.57,630,30.5
0.59,660,31
0.62,690,31.5
0.65,720,32
0.67,750,32.5
0.70,780,33
0.73,810,33.5
0.75,840,34
0.78,870,34.5
0.81,900,35
0.83,930,35.5
0.86,960,36
0.89,990,36.5
0.92,1020,37
0.94,1050,37.5
0.97,1080,38
1.00,1110,38.5
1.02,1140,39
1.05,1170,39.5
1.08,1200,40
1.10,1230,40.5
1.13,1260,41
1.16,1290,41.5
1.18,1320,42
1.21,1350,42.5
1.24,1380,43
1.27,1410,43.5
1.29,1440,44
1.32,1470,44.5
1.35,1500,45
1.37,1530,45.5
1.40,1560,46
1.43,1590,46.5
1.45,1620,47
1.48,1650,47.5
1.51,1680,48
1.53,1710,48.5
1.56,1740,49
1.59,1770,49.5
1.62,1800,50
1.64,1830,50.5
1.67,1860,51
1.70,1890,51.5
1.72,1920,52
1.75,1950,52.5
1.78,1980,53
1.80,2010,53.5
1.83,2040,54
1.86,2070,54.5
1.88,2100,55
1.91,2130,55.5
1.94,2160,56
1.97,2190,56.5
1.99,2220,57
2.02,2250,57.5
2.05,2280,58
2.07,2310,58.5
2.10,2340,59
2.13,2370,59.5
2.15,2400,60
2.18,2430,60.5
2.21,2460,61
2.23,2490,61.5
2.26,2520,62
2.29,2550,62.5
2.32,2580,63
2.34,2610,63.5
2.37,2640,64
2.40,2670,64.5
2.42,2700,65
2.45,2730,65.5
2.48,2760,66
2.50,2790,66.5
2.53,2820,67
2.56,2850,67.5
2.58,2880,68
2.61,2910,68.5
2.64,2940,69
2.67,2970,69.5
2.69,3000,70
2.72,3030,70.5
2.75,3060,71
2.77,3090,71.5
2.80,3120,72
2.83,3150,72.5
2.85,3180,73
2.88,3210,73.5
2.91,3240,74
2.93,3270,74.5
2.96,3300,75
2.99,3330,75.5
3.02,3360,76
3.04,3390,76.5
3.07,3420,77
3.10,3450,77.5
3.12,3480,78
3.15,3510,78.5
3.18,3540,79
3.20,3570,79.5
3.23,3600,80
3.26,3630,80.5
3.28,3660,81
3.31,3690,81.5
3.34,3720,82
3.37,3750,82.5
3.39,3780,83
3.42,3810,83.5
3.45,3840,84
3.47,3870,84.5
3.50,3900,85
3.53,3930,85.5
3.55,3960,86
3.58,3990,86.5
3.61,4020,87
3.63,4050,87.5
3.66,4080,88
3.69,4110,88.5
3.72,4140,89
3.74,4170,89.5
3.77,4200,90
3.80,4230,90.5
3.82,4260,91
3.85,4290,91.5
3.88,4320,92
3.90,4350,92.5
3.93,4380,93
3.96,4410,93.5
3.98,4440,94
4.01,4470,94.5
4.04,4500,95
4.07,4530,95.5
4.09,4560,96
4.12,4590,96.5
4.15,4620,97
4.17,4650,97.5
4.20,4680,98
4.23,4710,98.5
4.25,4740,99
4.28,4770,99.5
4.31,4800,100
4.33,4830,100.5
4.36,4860,101
4.39,4890,101.5
4.42,4920,102
4.44,4950,102.5
4.47,4980,103
4.50,5010,103.5
4.52,5040,104
4.55,5070,104.5
4.58,5100,105
4.60,5130,105.5
4.63,5160,106
4.66,5190,106.5
4.68,5220,107
4.71,5250,107.5
4.74,5280,108
4.77,5310,108.5
4.79,5340,109
4.82,5370,109.5
4.85,5400,110
4.87,5430,110.5
4.90,5460,111
4.93,5490,111.5
4.95,5520,112
4.98,5550,112.5
5.01,5580,113
5.03,5610,113.5
5.06,5640,114
5.09,5670,114.5
5.12,5700,115
5.14,5730,115.5
5.17,5760,116
5.20,5790,116.5
5.22,5820,117
5.25,5850,117.5
5.28,5880,118
5.30,5910,118.5
5.33,5940,119
5.36,5970,119.5
5.38,6000,120
5.41,6030,120.5
5.44,6060,121
5.47,6090,121.5
5.49,6120,122
5.52,6150,122.5
5.55,6180,123
5.57,6210,123.5
5.60,6240,124
5.63,6270,124.5
5.65,6300,125
5.68,6330,125.5
5.71,6360,126
5.73,6390,126.5
5.76,6420,127
5.79,6450,127.5
5.82,6480,128
5.84,6510,128.5
5.87,6540,129
5.90,6570,129.5
5.92,6600,130
5.95,6630,130.5
5.98,6660,131
6.00,6690,131.5
6.03,6720,132
6.06,6750,132.5
6.08,6780,133
6.11,6810,133.5
6.14,6840,134
6.17,6870,134.5
6.19,6900,135
6.22,6930,135.5
6.25,6960,136
6.27,6990,136.5
6.30,7020,137
6.33,7050,137.5
6.35,7080,138
6.38,7110,138.5
6.41,7140,139
6.43,7170,139.5
6.46,7200,140
6.49,7230,140.5
6.52,7260,141
6.54,7290,141.5
6.57,7320,142
6.60,7350,142.5
6.62,7380,143
6.65,7410,143.5
6.68,7440,144
6.70,7470,144.5
6.73,7500,145
6.76,7530,145.5
6.78,7560,146
6.81,7590,146.5
6.84,7620,147
6.87,7650,147.5
6.89,7680,148
6.92,7710,148.5
6.95,7740,149
6.97,7770,149.5
7,7800,150
7,7830,150
7,7860,150
7,7890,150
7,7920,150
7,7950,150
7,7980,150
7,8010,150
7,8040,150
7,8070,150
7,8100,150
7,8130,150
7,8160,150
7,8190,150
7,8220,150
7,8250,150
7,8280,150
7,8310,150
7,8340,150
7,8370,150
7,8400,150
7,8430,150
7,8460,150
7,8490,150
7,8520,150
7,8550,150
7,8580,150
7,8610,150
7,8640,150
7,8670,150
7,8700,150
7,8730,150
7,8760,150
7,8790,150
7,8820,150
7,8850,150
7,8880,150
7,8910,150
7,8940,150
7,8970,150
7,9000,150
7,9030,150
7,9060,150
7,9090,150
7,9120,150
7,9150,150
7,9180,150
7,9210,150
7,9240,150
7,9270,150
7,9300,150
7,9330,150
7,9360,150
7,9390,150
7,9420,150
7,9450,150
7,9480,150
7,9510,150
7,9540,150
7,9570,150
7,9600,150
7,9630,150
7,9660,150
7,9690,150
7,9720,150
7,9750,150
7,9780,150
7,9810,150
7,9840,150
7,9870,150
7,9900,150
7,9930,150
7,9960,150
7,9990,150
7,10020,150
7,10050,150
7,10080,150
7,10110,150
7,10140,150
7,10170,150
7,10200,150
7,10230,150
7,10260,150
7,10290,150
7,10320,150
7,10350,150
7,10380,150
7,10410,150
7,10440,150
7,10470,150
7,10500,150
7,10530,150
7,10560,150
7,10590,150
7,10620,150
7,10650,150
7,10680,150
7,10710,150
7,10740,150
7,10770,150
7,10800,150
7,10830,150
7,10860,150
7,10890,150
7,10920,150
7,10950,150
7,10980,150
7,11010,150
7,11040,150
7,11070,150
7,11100,150
7,11130,150
7,11160,150
7,11190,150
7,11220,150
