Time,Temp Setpoint,Temp Feedback,Pressure Setpoint,Pressure Feedback,TC00,TC01,TC02,TC03,TC04,TC05,TC06,TC07,N1,N2,N3,Vacuum SP,,,,,,,,,,,,,,,,,
seconds,C,C,Bar,Bar,C,C,C,C,C,C,C,C,mBar,mBar,mBar,mBar,,,,,,,,,,,,,,,,,
0,99,20,0,21,320,1,0,1,12,21,362,21,300,1770,0,1770,0,1770,0,1770,0,1770,0,1770,0,1029,304,1000,0,76,923,0,0
0,222,21,320,21,320,1,12,1,12,21,362,21,300,1770,0,1770,0,1770,0,1770,0,1770,0,1770,0,1029,304,1000,0,76,923,0,0
4,463,21,506,21,217,1,80,1,3,21,237,21,237,1770,0,1770,0,1770,0,1770,0,1770,0,1770,0,1021,978,1000,0,76,923,0,0
9,463,21,757,21,71,1,165,1,58,21,19,21,82,1770,0,1770,0,1770,0,1770,0,1770,0,1770,0,1021,978,1000,0,69,597,0,0
14,463,22,9,21,580,1,245,1,122,21,518,21,580,1770,0,1770,0,1770,0,1770,0,1770,0,1770,0,1029,304,1000,0,76,923,0,0
19,463,22,256,21,922,1,330,1,232,21,829,21,922,1770,0,1770,0,1770,0,1770,0,1770,0,1770,0,1029,304,1000,0,76,923,0,0
24,463,22,508,22,285,1,415,1,268,22,202,22,265,1770,0,1770,0,1770,0,1770,0,1770,0,1770,0,1029,304,1000,0,76,923,0,0
29,463,22,759,22,638,1,495,1,360,22,576,22,607,1770,0,1770,0,1770,0,1770,0,1770,0,1770,0,1021,978,1000,0,76,923,0,0
34,463,23,7,22,898,1,580,1,451,22,856,22,887,1770,0,1770,0,1770,0,1770,0,1770,0,1770,0,1029,304,1000,0,69,597,0,0
39,463,23,258,23,84,1,665,1,543,23,12,23,74,1770,0,1770,0,1770,0,1770,0,1770,0,1770,0,1029,304,1000,0,76,923,0,0
44,463,23,510,23,271,1,745,1,653,23,198,23,261,1770,0,1770,0,1770,0,1770,0,1770,0,1770,0,1029,304,1000,0,76,923,0,0
49,463,23,757,23,281,1,830,1,699,23,230,23,230,1770,0,1770,0,1770,0,1770,0,1770,0,1770,0,1029,304,1000,0,76,923,0,0
54,463,24,8,23,447,1,915,1,781,23,416,23,385,1770,0,1770,0,1770,0,1770,0,1770,0,1770,0,1029,304,1000,0,69,597,0,0
59,463,24,260,23,613,1,995,1,882,23,541,23,572,1770,0,1770,0,1770,0,1770,0,1770,0,1770,0,1036,630,1000,0,76,923,0,0
64,463,24,507,23,883,2,80,1,973,23,852,23,852,1770,0,1770,0,1770,0,1770,0,1770,0,1770,0,1036,630,1000,0,76,923,0,0
69,463,24,759,24,80,2,165,2,47,24,70,24,8,1770,0,1770,0,1770,0,1770,0,1770,0,1770,0,1036,630,1000,0,69,597,0,0
74,463,25,10,24,215,2,245,2,129,24,226,24,132,1770,0,1770,0,1770,0,1770,0,1770,0,1770,0,1036,630,1000,0,76,923,0,0
79,463,25,258,24,402,2,330,2,212,24,381,24,350,1770,0,1770,0,1770,0,1770,0,1770,0,1770,0,1043,956,1000,0,76,923,0,0
84,463,25,509,24,724,2,415,2,321,24,755,24,661,1770,0,1770,0,1770,0,1770,0,1770,0,1770,0,1043,956,1000,0,76,923,0,0
89,463,25,760,25,4,2,495,2,367,25,35,24,942,1770,0,1770,0,1770,0,1770,0,1770,0,1770,0,1043,956,1000,0,69,597,0,0
94,463,26,8,25,263,2,580,2,450,25,315,25,222,1770,0,1770,0,1770,0,1770,0,1770,0,1770,0,1051,282,1000,0,76,923,0,0
99,463,26,259,25,460,2,665,2,550,25,502,25,409,1770,0,1770,0,1770,0,1770,0,1770,0,1770,0,1051,282,1000,0,76,923,0,0
104,463,26,511,25,782,2,745,2,660,25,813,25,751,1770,0,1770,0,1770,0,1770,0,1770,0,1770,0,1058,608,1007,326,76,923,0,0
109,463,26,758,25,990,2,830,2,706,26,62,25,969,1770,0,1770,0,1770,0,1770,0,1770,0,1770,0,1058,608,1000,0,76,923,0,0
114,463,27,10,26,187,2,915,2,788,26,249,26,156,1770,0,1770,0,1770,0,1770,0,1770,0,1770,0,1058,608,1000,0,76,923,0,0
119,463,27,261,26,384,2,995,2,889,26,467,26,342,1770,0,1770,0,1770,0,1770,0,1770,0,1770,0,1065,934,1000,0,76,923,0,0
124,463,27,509,26,789,3,80,2,962,26,840,26,778,1770,0,1770,0,1770,0,1770,0,1770,0,1770,0,1065,934,1000,0,76,923,0,0
